Hisse    Temettü Tar  Verim   T-7       T-6       T-5       T-4       T-3       T-2       T-1       T_Günü    T+1       T+2       T+3       T+4       T+5       T+6       T+7      
GENTS    2024-05-31   %1.77  +2.57%    -0.68%    +0.46%    -1.48%    -2.31%    -2.49%    +2.67%    -3.31%    -0.12%    +1.59%    +1.57%    -2.26%    +0.00%    -0.49%    +0.00%   
TGSAS    2024-05-31   %0.40  +0.85%    -1.75%    -3.76%    -4.11%    -1.71%    -4.72%    +3.74%    +6.03%    -5.13%    +6.87%    -5.34%    -3.18%    -2.76%    -7.29%    +9.93%   
SISE     2024-05-31   %1.21  +0.45%    -1.54%    -1.56%    +1.21%    +0.09%    -2.12%    +0.19%    -6.65%    -1.41%    -1.47%    +0.29%    +0.04%    -0.41%    -1.91%    -0.51%   
AFYON    2024-06-03   %2.68  -2.37%    -1.57%    -2.90%    -1.04%    -0.90%    +2.44%    -0.37%    -3.50%    +0.46%    +0.15%    -0.38%    -2.08%    -2.36%    +0.24%    +0.72%   
ALGYO    2024-06-03   %0.12  -0.92%    +0.00%    -3.38%    -1.24%    -1.30%    -0.85%    +0.81%    +0.28%    +0.09%    -0.56%    +0.61%    -1.32%    -0.38%    +0.38%    +0.57%   
VAKKO    2024-06-04   %1.98  -1.10%    +2.31%    +2.76%    -4.07%    -3.22%    -1.14%    +0.80%    -0.53%    -3.27%    +3.29%    -4.16%    -3.69%    -1.05%    +1.65%    +3.33%   
ECILC    2024-06-05   %1.95  -2.56%    -0.36%    -2.90%    -1.68%    +0.38%    +0.28%    +2.83%    -5.88%    +0.39%    +1.07%    -3.85%    -0.56%    -0.93%    +2.52%    +5.25%   
ECZYT    2024-06-05   %1.91  -0.70%    -1.44%    -2.81%    -1.59%    +0.89%    +0.72%    +2.55%    -3.96%    +0.21%    -1.70%    -3.41%    -0.85%    -1.44%    +2.79%    +3.24%   
KRVGD    2024-07-02   %1.10  +2.79%    -3.00%    -0.66%    -4.59%    -0.47%    +0.78%    -0.62%    +1.95%    -4.58%    -1.12%    +2.35%    +2.21%    -1.01%    -1.95%    +3.75%   
GIPTA    2024-07-03   %0.68  -1.90%    +4.12%    -2.34%    -0.25%    -2.96%    +1.08%    -3.08%    -0.52%    -1.95%    +0.07%    +0.60%    +2.71%    -3.92%    +2.01%    +0.33%   
