Hisse    Temettü Tar  Verim   T-1_Fiyat  T-7       T-6       T-5       T-4       T-3       T-2       T-1       T_Günü    T+1       T+2       T+3       T+4       T+5       T+6       T+7      
ISMEN    2023-05-26   %4.00  11.30      -0.99%    -0.08%    -0.58%    -3.18%    +1.77%    -2.00%    +3.47%    -2.60%    +1.59%    +3.55%    -1.02%    +1.98%    +0.20%    +3.64%    +3.80%   
TRGYO    2023-05-29   %1.43  14.03      +1.57%    -2.20%    -0.08%    -0.38%    -0.75%    +0.15%    +6.53%    +6.27%    +4.96%    +5.05%    -0.67%    +1.59%    +1.51%    +0.00%    +1.31%   
KCAER    2023-05-29   %1.51  5.42       +0.72%    -4.86%    -0.38%    +1.36%    -2.23%    -0.46%    +4.28%    +5.43%    +7.72%    +5.10%    +0.92%    -2.07%    +0.81%    -2.90%    +3.81%   
LUKSK    2023-05-29   %0.55  23.42      +1.21%    -3.58%    -3.22%    -0.94%    -1.63%    +0.26%    +2.09%    +2.05%    +3.60%    +0.97%    +2.00%    +2.75%    +2.98%    -2.52%    -0.23%   
CEMTS    2023-05-29   %1.18  7.71       +3.94%    +1.59%    -2.43%    -2.05%    +7.69%    -2.99%    +3.30%    +8.49%    +8.79%    -1.16%    +0.22%    -2.11%    +1.02%    -1.80%    +2.86%   
ASUZU    2023-05-29   %1.48  48.00      +3.57%    -3.80%    -1.46%    +5.72%    -3.93%    +0.07%    +5.19%    +2.99%    +5.87%    +1.59%    -0.50%    +0.38%    +4.46%    -3.25%    -0.50%   
MGROS    2023-05-30   %1.35  174.30     -3.75%    -2.90%    +0.24%    -0.30%    -3.05%    +3.64%    +3.81%    -0.06%    -0.98%    +2.43%    +0.23%    +2.65%    -0.77%    +1.77%    +1.42%   
GEDIK    2023-05-31   %2.22  2.05       +1.12%    +6.65%    +1.95%    +2.93%    -1.73%    +0.25%    +0.88%    -1.99%    +2.29%    +0.62%    +3.46%    -3.22%    +0.12%    +2.09%    +8.44%   
OYAYO    2023-05-31   %2.31  11.30      -1.06%    -0.75%    +9.95%    +6.59%    -2.86%    +1.61%    +5.61%    -2.74%    -0.45%    -0.09%    +0.55%    -1.91%    +0.83%    -1.10%    +0.93%   
ALARK    2023-05-31   %0.44  66.70      +1.86%    -1.91%    -0.42%    +3.83%    +1.80%    +4.67%    +2.62%    +1.57%    -1.11%    +1.79%    +2.86%    +0.29%    +3.70%    +1.10%    +7.12%   
